# Round One
1,1,TEN
1,2,CLE
1,3,NYG
1,4,NE
1,5,JAX
1,6,LV
1,7,NYJ
1,8,CAR
1,9,NO
1,10,CHI
1,11,SF
1,12,DAL
1,13,MIA
1,14,IND
1,15,ATL
1,16,ARI
1,17,CIN
1,18,SEA
1,19,TB
1,20,DEN
1,21,PIT
1,22,LAC
1,23,GB
1,24,MIN
1,25,HOU
1,26,LAR
1,27,BAL
1,28,DET
1,29,WAS
1,30,BUF
1,31,KC
1,32,PHI

# Round Two
2,33,CLE
2,34,NYG
2,35,TEN
2,36,JAX
2,37,LV
2,38,NE
2,39,CHI
2,40,NO
2,41,CHI
2,42,NYJ
2,43,SF
2,44,DAL
2,45,IND
2,46,ATL
2,47,ARI
2,48,MIA
2,49,CIN
2,50,SEA
2,51,DEN
2,52,SEA
2,53,TB
2,54,GB
2,55,LAC
2,56,BUF
2,57,CAR
2,58,HOU
2,59,BAL
2,60,DET
2,61,WAS
2,62,BUF
2,63,KC
2,64,PHI
